"customer_id_g","purchase","sessions","duration","page_view","search","search_bi","flag_policy_bi","flag_specials_bi","flag_a_bi","flag_sum","cart","product_view_distinct","quoteback","repeat_product_view_sessions","repeat_product_view_single_session"
109863,0,2,52,8,2,1,0,0,0,0,0,1,0,2,2
11233,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1
99339,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1
84925,1,5,41,21,9,1,0,0,0,0,2,4,0,2,3
106753,0,1,5,3,0,0,0,0,0,0,0,1,0,1,3
108378,0,4,38,12,1,1,0,0,0,0,0,1,0,3,2
98561,0,1,37,30,5,1,0,0,0,0,0,6,0,1,3
12502,0,3,21,17,2,1,0,0,0,0,0,5,0,1,4
58528,0,2,1,3,0,0,0,0,0,0,0,1,0,2,1
83471,0,1,0,2,0,0,0,0,0,0,0,1,0,1,1
108965,0,4,3,15,2,1,0,0,0,0,0,1,0,2,2
47216,0,2,0,1,0,0,0,0,0,0,0,1,0,2,1
86008,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1
32117,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1
104209,0,2,1,3,0,0,0,0,0,0,0,1,0,1,1
11092,0,4,18,5,0,0,0,1,0,1,0,3,0,3,2
17573,0,3,21,30,0,0,0,0,0,0,0,1,0,2,4
61257,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1
103270,0,1,3,4,2,1,0,0,0,0,0,1,0,1,2
23393,0,2,3,7,2,1,0,0,0,0,0,2,0,1,2
93365,0,15,3,2,0,0,0,0,0,0,0,1,0,5,2
27107,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1
63501,0,3,1,3,0,0,0,0,0,0,0,2,0,1,2
10792,0,3,1,5,0,0,0,0,0,0,0,2,0,1,2
55680,0,2,0,1,0,0,0,0,0,0,0,1,0,2,1
97539,0,7,24,38,1,1,0,1,0,1,0,3,0,1,2
108686,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1
51414,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1
99917,0,1,13,16,0,0,0,0,0,0,2,1,0,1,5
100632,0,1,1,2,0,0,0,0,0,0,0,2,0,1,1
85121,0,1,7,6,0,0,0,0,0,0,0,3,0,1,3
108729,0,3,5,4,0,0,0,0,0,0,0,1,0,2,4
95945,0,1,1,4,0,0,0,0,0,0,0,2,0,1,2
92846,1,6,41,42,7,1,0,0,0,0,0,6,1,3,3
100199,0,2,4,12,0,0,0,0,0,0,1,1,0,1,2
108457,0,3,3,9,0,0,0,0,0,0,0,1,0,1,1
41497,0,1,0,2,0,0,0,0,0,0,0,1,0,1,1
77649,0,1,1,2,0,0,0,0,0,0,0,1,0,1,2
49109,0,12,1,3,0,0,0,0,0,0,0,3,0,2,2
81823,0,2,0,2,0,0,0,0,0,0,0,2,0,1,1
102859,0,2,4,7,0,0,0,0,0,0,0,3,0,1,1
61838,0,2,0,1,0,0,0,0,0,0,0,1,0,1,1
33873,0,1,1,4,0,0,0,0,0,0,1,1,0,1,1
67105,0,1,19,2,0,0,0,0,0,0,0,1,0,1,2
65861,0,1,3,12,0,0,0,0,0,0,0,1,0,1,3
100235,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1
69644,0,2,3,12,1,1,0,0,0,0,1,1,0,1,3
57360,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1
10399,0,1,3,9,0,0,0,1,0,1,0,1,0,1,1
8869,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1
11158,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1
111919,0,2,2,9,0,0,0,0,0,0,0,1,0,2,2
103013,0,5,5,7,1,1,0,0,0,0,0,2,0,1,2
12961,0,3,10,10,0,0,0,0,0,0,0,2,0,1,1
22029,0,2,0,1,0,0,0,0,0,0,0,1,0,2,1
